REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 D:\Dual_Region\MOS_PESQ\swav\19.wav	 D:\Dual_Region\MOS_PESQ\ywav\19.wav	 SQValue=3.436	 3.436	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\20.wav	 D:\Dual_Region\MOS_PESQ\ywav\20.wav	 SQValue=3.099	 3.099	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\21.wav	 D:\Dual_Region\MOS_PESQ\ywav\21.wav	 SQValue=4.294	 4.294	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\22.wav	 D:\Dual_Region\MOS_PESQ\ywav\22.wav	 SQValue=4.114	 4.114	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\23.wav	 D:\Dual_Region\MOS_PESQ\ywav\23.wav	 SQValue=4.138	 4.138	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\24.wav	 D:\Dual_Region\MOS_PESQ\ywav\24.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\522.wav	 D:\Dual_Region\MOS_PESQ\ywav\522.wav	 SQValue=4.007	 4.007	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\81.wav	 D:\Dual_Region\MOS_PESQ\ywav\81.wav	 SQValue=4.344	 4.344	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\672.wav	 D:\Dual_Region\MOS_PESQ\ywav\672.wav	 SQValue=3.075	 3.075	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\747.wav	 D:\Dual_Region\MOS_PESQ\ywav\747.wav	 SQValue=4.218	 4.218	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\105.wav	 D:\Dual_Region\MOS_PESQ\ywav\105.wav	 SQValue=3.691	 3.691	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\753.wav	 D:\Dual_Region\MOS_PESQ\ywav\753.wav	 SQValue=3.231	 3.231	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\522.wav	 D:\Dual_Region\MOS_PESQ\ywav\522.wav	 SQValue=4.007	 4.007	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\81.wav	 D:\Dual_Region\MOS_PESQ\ywav\81.wav	 SQValue=4.344	 4.344	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\230.wav	 D:\Dual_Region\MOS_PESQ\ywav\230.wav	 SQValue=3.582	 3.582	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\451.wav	 D:\Dual_Region\MOS_PESQ\ywav\451.wav	 SQValue=3.764	 3.764	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\789.wav	 D:\Dual_Region\MOS_PESQ\ywav\789.wav	 SQValue=3.621	 3.621	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\796.wav	 D:\Dual_Region\MOS_PESQ\ywav\796.wav	 SQValue=4.198	 4.198	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\130.wav	 D:\Dual_Region\MOS_PESQ\ywav\130.wav	 SQValue=3.424	 3.424	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\800.wav	 D:\Dual_Region\MOS_PESQ\ywav\800.wav	 SQValue=3.538	 3.538	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\789.wav	 D:\Dual_Region\MOS_PESQ\ywav\789.wav	 SQValue=3.621	 3.621	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\400.wav	 D:\Dual_Region\MOS_PESQ\ywav\400.wav	 SQValue=2.820	 2.820	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\660.wav	 D:\Dual_Region\MOS_PESQ\ywav\660.wav	 SQValue=2.595	 2.595	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\117.wav	 D:\Dual_Region\MOS_PESQ\ywav\117.wav	 SQValue=3.796	 3.796	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\348.wav	 D:\Dual_Region\MOS_PESQ\ywav\348.wav	 SQValue=3.109	 3.109	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\755.wav	 D:\Dual_Region\MOS_PESQ\ywav\755.wav	 SQValue=4.139	 4.139	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\653.wav	 D:\Dual_Region\MOS_PESQ\ywav\653.wav	 SQValue=2.011	 2.011	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\791.wav	 D:\Dual_Region\MOS_PESQ\ywav\791.wav	 SQValue=3.599	 3.599	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\541.wav	 D:\Dual_Region\MOS_PESQ\ywav\541.wav	 SQValue=1.566	 1.566	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\30.wav	 D:\Dual_Region\MOS_PESQ\ywav\30.wav	 SQValue=3.551	 3.551	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\700.wav	 D:\Dual_Region\MOS_PESQ\ywav\700.wav	 SQValue=2.894	 2.894	 0.000	 0	 16000	0.0000
 
